,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
0,Rioters (Mali),Police Forces of Mali (2013-),Bamako,Bamako,Commune III,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,,Mali,7157237,2020-07-11,MLI4027,4027,Riots,4,1,5,1,15,466,MLI,12.6500,Bamako,-8.0000,"On 11 July 2020, a large number of people continued to demonstrate, amid calls for civil disobedience from the Movement of June 5 - Rally of Patriotic Forces, in the capital of Bamako (Bamako, Bamako), and clashed with security forces deployed who fired teargas and live rounds to disperse demonstrators. Four people people were reportedly killed, including two minors. Several leaders and activists of the movement were also arrested. [size=large]",Western Africa,RFI; Reuters; Ouest France,Regional-International,Violent demonstration,1,1594671474,2020
1,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-) Gendarmerie,Tombouctou,Dire,Dire,,,Mali,7157777,2020-07-10,MLI4025,4025,Battles,0,1,2,1,12,466,MLI,16.2570,Dire,-3.4013,"On 10 July 2020, suspected JNIM militants attacked the gendarmerie in Dire (Dire, Tombouctou), and seized one vehicle and two motorbikes. No casualties reported.",Western Africa,Whatsapp,New media,Armed clash,1,1594671476,2020
2,Protesters (Mali),,Kayes,Kayes,Kayes Commune,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,,Mali,7157373,2020-07-10,MLI4026,4026,Protests,0,1,6,0,60,466,MLI,14.4417,Kayes,-11.4341,"On 10 July 2020, a number of residents staged a demonstration, responding to Movement of June 5 - Rally of Patriotic Forces calls for civil disobedience, in the town of Kayes (Kayes, Kayes). The demonstrators prevented access to a bridge under construction, while security forces monitored the demonstration that was described as peaceful. Several public service facilities were kept closed. [size=no report]",Western Africa,AMAP,National,Peaceful protest,1,1594671474,2020
3,Rioters (Mali),Police Forces of Mali (2013-),Bamako,Bamako,Commune III,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,,Mali,7157236,2020-07-10,MLI4024,4024,Riots,3,1,5,1,15,466,MLI,12.6500,Bamako,-8.0000,"On 10 July 2020, several thousands of people took to the streets in the capital of Bamako (Bamako, Bamako) amid the decision by the Movement of June 5 - Rally of Patriotic Forces and calls for civil disobedience (that gathers religious leaders, political figures, and civil society) to organize a demonstration and demand the resignation of president Ibrahim Boubacar Keita. The demonstrators barricaded three bridges, occupied the premises of state television ORTM, vandalized the National Assembly, and pillaged and burned property. Security forces deployed to quell the demonstrations fired tear gas and live rounds and arrested demonstrators, leaving 3 people dead and several dozens wounded. [size=several thousands]",Western Africa,Anadolu Agency; Studio Tamani; AMAP; Reuters; Xinhua; Ouest France; Jeune Afrique; Maliweb; RFI; AFP,National-Regional,Violent demonstration,1,1594671474,2020
4,Islamic State (Greater Sahara),Islamic State (Greater Sahara),Gao,Ansongo,Tin Hama,,,Mali,7157778,2020-07-09,MLI4023,4023,Battles,1,2,2,2,22,466,MLI,15.5796,Sok Nagadar,1.2398,"Around 9 July 2020 (as reported), ISGS fighters reportedly killed an ISGS commander in the area of Ikla, near Sok Nagadar (Ansongo, Gao).",Western Africa,Whatsapp,New media,Armed clash,2,1594671476,2020
5,Protesters (Mali),,Bamako,Bamako,Commune III,Teachers (Mali),,Mali,7157234,2020-07-09,MLI4020,4020,Protests,0,1,6,0,60,466,MLI,12.6500,Bamako,-8.0000,"On 9 July 2020, a number of teachers in private schools staged a demonstration in the capital of Bamako (Bamako, Bamako) to demand five months of unpaid salaries and a collective labour agreement. [size=no report]",Western Africa,Essor; AMAP,Subnational-National,Peaceful protest,1,1594671474,2020
6,JNIM: Group for Support of Islam and Muslims,HCUA: High Council for the Unity of Azawad,Tombouctou,Goundam,Tonka,,,Mali,7157235,2020-07-09,MLI4021,4021,Battles,0,1,2,3,23,466,MLI,16.2749,Echell,-3.9431,"On 9 July 2020, suspected JNIM militants abducted a HCUA commander while en route from the market in Echell (Goundam, Tombouctou).",Western Africa,Twitter; Nord Sud Journal,Other-New media,Armed clash,1,1594671474,2020
7,Dogon Ethnic Militia (Mali),Dozo Communal Militia (Mali),Mopti,Koro,Madougou,Farmers (Mali),,Mali,7157750,2020-07-09,MLI4022,4022,Battles,0,1,4,4,44,466,MLI,14.3974,Gangouroubourou,-3.0287,"On 9 July 2020, Dogon militiamen mistakenly opened fire against Dozo militiamen (believing they were militants) in Gangouroubourou (Koro, Mopti). No casualties reported.",Western Africa,Undisclosed Source,Local partner-Other,Armed clash,1,1594671476,2020
8,JNIM: Group for Support of Islam and Muslims,,Mopti,Bandiagara,Bara Sara,,,Mali,7157233,2020-07-08,MLI4019,4019,Explosions/Remote violence,0,1,2,0,20,466,MLI,14.1473,Songobia,-3.7773,"On 8 July 2020, presumed JNIM militants set off explosives and damaged a bridge in Songobia (Bandiagara, Mopti).",Western Africa,Undisclosed Source; AMAP; Essor; Koro Kibaru,Local partner-Other,Remote explosive/landmine/IED,1,1594671474,2020
9,Unidentified Armed Group (Mali),Kembedi Communal Militia (Mali),Mopti,Bandiagara,Timiniri,,,Mali,7157753,2020-07-08,MLI4018,4018,Battles,0,1,3,4,34,466,MLI,13.9983,Kembedi,-3.9821,"On 8 July 2020, unknown gunmen attacked the village of Kembedi (Bandiagara, Mopti), and clashed with the village self-defense. No casualties reported.",Western Africa,Undisclosed Source,Local partner-Other,Armed clash,1,1594671476,2020
10,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Kidal,Tessalit,Tessalit,,,Mali,7157720,2020-07-07,MLI4017,4017,Explosions/Remote violence,0,1,2,8,28,466,MLI,20.2581,Tessalit,0.9905,"On 7 July 2020, presumed JNIM militants fired 16 mortar shells against the MINUSMA camp in Tessalit (Tessalit, Kidal), the projectiles fell outside the camp perimeter and did not cause any casualties or damages.",Western Africa,UN MINUSMA,Other,Shelling/artillery/missile attack,1,1594671476,2020
11,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Mopti,Douentza,Haire,,Labour Group (Mali),Mali,7157721,2020-07-07,MLI4016,4016,Explosions/Remote violence,0,2,2,7,27,466,MLI,15.1763,Nokara,-2.3959,"On 7 July 2020, a fuel truck struck an IED 70km east of Douentza, coded as Nokara (Douentza, Mopti), and two passengers were injured. The device was likely planted by JNIM militants.",Western Africa,Undisclosed Source,Local partner-Other,Remote explosive/landmine/IED,1,1594671476,2020
12,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Mopti,Douentza,Djaptodji,,Labour Group (Mali),Mali,7157727,2020-07-07,MLI4015,4015,Violence against civilians,0,1,2,7,27,466,MLI,15.7920,Kanioume,-3.1539,"On 7 July 2020, presumed JNIM militants abducted a man, assaulted tobacco vendors and burned their goods at the market in Kanioume (Douentza, Mopti).",Western Africa,Undisclosed Source,Local partner-Other,Attack,1,1594671476,2020
